Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
13-Jun-25,11385.4,11498.75,11318.1,11443.6,,
16-Jun-25,11456.1,11581.95,11405,11570.95,,
17-Jun-25,11592.1,11596.45,11467.35,11486.8,,
18-Jun-25,11475.15,11529.5,11387.45,11431.7,,
19-Jun-25,11439.1,11452.4,11325.95,11358.85,,
20-Jun-25,11347.3,11477.2,11322.65,11462.1,,
23-Jun-25,11395.35,11496.6,11344,11473.95,,
24-Jun-25,11595.15,11618.85,11424.2,11454.55,,
25-Jun-25,11534,11552.35,11467.2,11482.4,,
26-Jun-25,11497.55,11713.45,11495.85,11695.9,,
27-Jun-25,11722.25,11884.3,11715.35,11835.05,,
30-Jun-25,11862.15,11916.6,11765.1,11800.95,,
01-Jul-25,11816.35,11875.2,11792.2,11858.75,,
02-Jul-25,11882.45,11900.35,11762.2,11838.2,,
03-Jul-25,11866.15,11949.15,11840.3,11877.3,,
04-Jul-25,11923.45,12016.05,11870.75,12002.35,,
07-Jul-25,12020.45,12084.8,12013.5,12051.85,,
08-Jul-25,12051.55,12099.55,12031,12064.2,,
09-Jul-25,12068,12083.8,11891.4,11913.55,,
10-Jul-25,11949.25,11963.1,11864.65,11909.7,,
11-Jul-25,11920.35,11922.05,11736.7,11759.5,,
14-Jul-25,11771.95,11810.65,11715.65,11755.55,,
15-Jul-25,11781.05,11855.6,11775.55,11811.7,,
16-Jul-25,11789,11855.9,11773.3,11838.8,,
17-Jul-25,11857.85,11868.95,11794.8,11815.05,,
18-Jul-25,11843,11867.4,11727.8,11771.9,,
21-Jul-25,11737.75,11773.95,11616.85,11643.45,,
22-Jul-25,11647.8,11675.5,11585.5,11596.85,,
23-Jul-25,11640.8,11682.8,11597.5,11673.7,,
24-Jul-25,11661.3,11685.4,11554.7,11583.2,,
25-Jul-25,11551.85,11567.25,11348.4,11356.4,,
28-Jul-25,11354.3,11479.85,11307.45,11323.7,,
29-Jul-25,11308.2,11456.3,11307.9,11445.45,,
30-Jul-25,11454.15,11501.35,11348.65,11431.5,,
31-Jul-25,11279.3,11338.55,11229.85,11262.25,,
01-Aug-25,11256.35,11266.15,11072.05,11090.8,,
04-Aug-25,11120.2,11163.15,11053.55,11151.45,,
05-Aug-25,11152.5,11155.2,11001.25,11044.7,,
06-Aug-25,11062.5,11085,10996.8,11018.15,,
07-Aug-25,10969.3,11021.8,10837.1,10997.3,,
08-Aug-25,11003.05,11090.85,10972.3,10989.15,,
11-Aug-25,11023.3,11073.4,10929.8,11059.95,,
12-Aug-25,11059.55,11158.35,11044.25,11103.85,,
13-Aug-25,11150.9,11162.2,11063.3,11098.85,,
14-Aug-25,11109.55,11134.55,10985.65,10997.35,,
18-Aug-25,11087.65,11090.9,10966.15,11017.45,,
19-Aug-25,11045.55,11207.8,11044.8,11200.35,,
20-Aug-25,11165.35,11229.7,11164.15,11186.05,,
21-Aug-25,11229.1,11288.1,11205.5,11219.15,,
22-Aug-25,11201.85,11214.15,11119.35,11126.1,,
25-Aug-25,11150.85,11155.05,11099.65,11132,,
26-Aug-25,11109.4,11137.9,10930.1,10949.55,,
28-Aug-25,10980.4,10982.95,10859.85,10900,,
29-Aug-25,10881.6,10935.55,10766.15,10789.75,,
01-Sep-25,10800.9,10945.8,10757.5,10935.35,,
02-Sep-25,10951.05,11096.05,10950.55,11002.9,,
03-Sep-25,11015.85,11093.1,10998.7,11029.4,,
04-Sep-25,11063.45,11076.1,10910.65,10923.15,,
05-Sep-25,10939.05,10991.2,10870.35,10933.7,,
08-Sep-25,10963.5,11010.25,10944.35,10960.45,,
09-Sep-25,10965.4,11007.9,10918.8,10927.95,,
10-Sep-25,10981.2,11006.5,10951.35,10966.15,,
11-Sep-25,10977.4,11153.05,10973.2,11086.55,,
12-Sep-25,11116,11148.7,11074.75,11091.15,,
15-Sep-25,11091.25,11134.4,11079.4,11124.4,,
16-Sep-25,11161.8,11229.2,11132.65,11219.75,,
17-Sep-25,11252.1,11320.2,11242.3,11290.55,,
18-Sep-25,11327.45,11335.25,11242.7,11286.45,,
